"input" "reason" "matches" "primaryIdentifier" "symbol" "briefDescription" "class" "isObsolete"
"AT4G31380" "MATCH" "1" "AT4G31380" "FLP1" "flowering-promoting factor-like protein" "Gene" ""
"AT4G39610" "MATCH" "1" "AT4G39610" "AT4G39610" "MIZU-KUSSEI-like protein (Protein of unknown function, DUF617)" "Gene" ""
"AT3G18250" "MATCH" "1" "AT3G18250" "AT3G18250" "Putative membrane lipoprotein" "Gene" ""
"AT1G51830" "MATCH" "1" "AT1G51830" "AT1G51830" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT1G24967" "MATCH" "1" "AT1G24967" "AT1G24967" "transposable_element_gene" "TransposableElementGene" ""
"AT5G09560" "MATCH" "1" "AT5G09560" "AT5G09560" "RNA-binding KH domain-containing protein" "Gene" ""
"AT2G09865" "MATCH" "1" "AT2G09865" "AT2G09865" "transposable_element_gene" "TransposableElementGene" ""
"AT2G14210" "MATCH" "1" "AT2G14210" "AGL44" "AGAMOUS-like 44" "Gene" ""
"AT3G42182" "MATCH" "1" "AT3G42182" "AT3G42182" "transposable_element_gene" "TransposableElementGene" ""
"AT5G60900" "MATCH" "1" "AT5G60900" "RLK1" "receptor-like protein kinase 1" "Gene" ""
"ATCG00940" "MATCH" "1" "ATCG00940" "TRNA.1" "tRNA-Ala" "Gene" ""
"AT3G42181" "MATCH" "1" "AT3G42181" "AT3G42181" "transposable_element_gene" "TransposableElementGene" ""
"AT3G49580" "MATCH" "1" "AT3G49580" "LSU1" "response to low sulfur 1" "Gene" ""
"AT1G52040" "MATCH" "1" "AT1G52040" "MBP1" "myrosinase-binding protein 1" "Gene" ""
"ATCG01190" "MATCH" "1" "ATCG01190" "TRNA.2" "tRNA-Ala" "Gene" ""
"AT1G33730" "MATCH" "1" "AT1G33730" "CYP76C5" "cytochrome P450, family 76, subfamily C, polypeptide 5" "Gene" ""
"AT1G59218" "MATCH" "1" "AT1G59218" "AT1G59218" "Disease resistance protein (CC-NBS-LRR class) family" "Gene" ""
"AT3G28580" "MATCH" "1" "AT3G28580" "AT3G28580" "P-loop containing nucleoside triphosphate hydrolases superfamily protein" "Gene" ""
"AT1G45015" "MATCH" "1" "AT1G45015" "AT1G45015" "MD-2-related lipid recognition domain-containing protein" "Gene" ""
"AT3G42186" "MATCH" "1" "AT3G42186" "AT3G42186" "transposable_element_gene" "TransposableElementGene" ""
"AT3G61730" "MATCH" "1" "AT3G61730" "RMF" "reduced male fertility" "Gene" ""
"AT1G34050" "MATCH" "1" "AT1G34050" "AT1G34050" "Ankyrin repeat family protein" "Gene" ""
"AT5G58180" "MATCH" "1" "AT5G58180" "ATYKT62" "Synaptobrevin family protein" "Gene" ""
"AT1G43800" "MATCH" "1" "AT1G43800" "FTM1" "Plant stearoyl-acyl-carrier-protein desaturase family protein" "Gene" ""
"AT5G44990" "MATCH" "1" "AT5G44990" "AT5G44990" "Glutathione S-transferase family protein" "Gene" ""
"AT2G04190" "MATCH" "1" "AT2G04190" "AT2G04190" "TRAF-like family protein" "Gene" ""
"AT1G47890" "MATCH" "1" "AT1G47890" "RLP7" "receptor like protein 7" "Gene" ""
"AT1G51920" "MATCH" "1" "AT1G51920" "AT1G51920" "transmembrane protein" "Gene" ""
"ATCG00060" "MATCH" "1" "ATCG00060" "TRNQ" "tRNA-Gln" "Gene" ""
"AT5G09570" "MATCH" "1" "AT5G09570" "AT5G09570" "Cox19-like CHCH family protein" "Gene" ""
"AT4G25110" "MATCH" "1" "AT4G25110" "MC2" "metacaspase 2" "Gene" ""
"AT5G24380" "MATCH" "1" "AT5G24380" "YSL2" "YELLOW STRIPE like 2" "Gene" ""
"AT4G22070" "MATCH" "1" "AT4G22070" "WRKY31" "WRKY DNA-binding protein 31" "Gene" ""
"AT5G16530" "MATCH" "1" "AT5G16530" "PIN5" "Auxin efflux carrier family protein" "Gene" ""
"AT4G18980" "MATCH" "1" "AT4G18980" "AtS40-3" "AtS40-3" "Gene" ""
"ATCG01180" "MATCH" "1" "ATCG01180" "RRN23S.2" "" "Gene" ""
"AT2G04050" "MATCH" "1" "AT2G04050" "AT2G04050" "MATE efflux family protein" "Gene" ""
"AT3G13130" "MATCH" "1" "AT3G13130" "AT3G13130" "transmembrane protein" "Gene" ""
"AT1G14550" "MATCH" "1" "AT1G14550" "AT1G14550" "Peroxidase superfamily protein" "Gene" ""
"AT3G61723" "MATCH" "1" "AT3G61723" "AT3G61723" "PHD finger protein" "Gene" ""
"AT3G13840" "MATCH" "1" "AT3G13840" "AT3G13840" "GRAS family transcription factor" "Gene" ""
"AT3G42178" "MATCH" "1" "AT3G42178" "AT3G42178" "transposable_element_gene" "TransposableElementGene" ""
"AT3G60470" "MATCH" "1" "AT3G60470" "AT3G60470" "transmembrane protein, putative (DUF247)" "Gene" ""
"AT3G61721" "MATCH" "1" "AT3G61721" "AT3G61721" "pseudogene of hypothetical protein" "Pseudogene" ""
"AT3G42179" "MATCH" "1" "AT3G42179" "AT3G42179" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42174" "MATCH" "1" "AT3G42174" "AT3G42174" "transposable_element_gene" "TransposableElementGene" ""
"AT4G15755" "MATCH" "1" "AT4G15755" "AT4G15755" "Calcium-dependent lipid-binding (CaLB domain) family protein" "Gene" ""
"AT3G53150" "MATCH" "1" "AT3G53150" "UGT73D1" "UDP-glucosyl transferase 73D1" "Gene" ""
"AT5G66430" "MATCH" "1" "AT5G66430" "AT5G66430" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT1G11080" "MATCH" "1" "AT1G11080" "scpl31" "serine carboxypeptidase-like 31" "Gene" ""
"ATCG01030" "MATCH" "1" "ATCG01030" "TRNL.3" "tRNA-Leu" "Gene" ""
"AT4G23140" "MATCH" "1" "AT4G23140" "CRK6" "cysteine-rich RLK (RECEPTOR-like protein kinase) 6" "Gene" ""
"AT2G02990" "MATCH" "1" "AT2G02990" "RNS1" "ribonuclease 1" "Gene" ""
"AT5G38910" "MATCH" "1" "AT5G38910" "AT5G38910" "RmlC-like cupins superfamily protein" "Gene" ""
"AT2G44240" "MATCH" "1" "AT2G44240" "AT2G44240" "NEP-interacting protein (DUF239)" "Gene" ""
"AT4G17470" "MATCH" "1" "AT4G17470" "AT4G17470" "alpha/beta-Hydrolases superfamily protein" "Gene" ""
"AT4G15370" "MATCH" "1" "AT4G15370" "BARS1" "baruol synthase 1" "Gene" ""
"AT5G38100" "MATCH" "1" "AT5G38100" "AT5G38100" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT2G26400" "MATCH" "1" "AT2G26400" "ARD3" "acireductone dioxygenase 3" "Gene" ""
"AT4G14630" "MATCH" "1" "AT4G14630" "GLP9" "germin-like protein 9" "Gene" ""
"AT1G52120" "MATCH" "1" "AT1G52120" "AT1G52120" "Mannose-binding lectin superfamily protein" "Gene" ""
"AT1G80160" "MATCH" "1" "AT1G80160" "GLYI7" "Lactoylglutathione lyase / glyoxalase I family protein" "Gene" ""
"AT2G21900" "MATCH" "1" "AT2G21900" "WRKY59" "WRKY DNA-binding protein 59" "Gene" ""
"AT1G04370" "MATCH" "1" "AT1G04370" "ERF14" "Ethylene-responsive element binding factor 14" "Gene" ""
"AT2G24710" "MATCH" "1" "AT2G24710" "GLR2.3" "glutamate receptor 2.3" "Gene" ""
"AT1G24880" "MATCH" "1" "AT1G24880" "LpxC2" "UDP-3-O-acyl N-acetylglycosamine deacetylase family protein" "Gene" ""
"AT1G17170" "MATCH" "1" "AT1G17170" "GSTU24" "glutathione S-transferase TAU 24" "Gene" ""
"AT1G24881" "MATCH" "1" "AT1G24881" "AT1G24881" "F-box family protein" "Gene" ""
"ATCG01170" "MATCH" "1" "ATCG01170" "RRN4.5S.2" "" "Gene" ""
"AT4G02160" "MATCH" "1" "AT4G02160" "AT4G02160" "cotton fiber protein" "Gene" ""
"AT2G16740" "MATCH" "1" "AT2G16740" "UBC29" "ubiquitin-conjugating enzyme 29" "Gene" ""
"AT4G33120" "MATCH" "1" "AT4G33120" "AT4G33120" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT1G44030" "MATCH" "1" "AT1G44030" "AT1G44030" "Cysteine/Histidine-rich C1 domain family protein" "Gene" ""
"AT1G45030" "MATCH" "1" "AT1G45030" "AT1G45030" "transposable_element_gene" "TransposableElementGene" ""
"AT1G66700" "MATCH" "1" "AT1G66700" "PXMT1" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT1G45035" "MATCH" "1" "AT1G45035" "AT1G45035" "transposable_element_gene" "TransposableElementGene" ""
"AT3G60328" "MATCH" "1" "AT3G60328" "AT3G60328" "hypothetical protein" "Gene" ""
"AT4G23150" "MATCH" "1" "AT4G23150" "CRK7" "cysteine-rich RLK (RECEPTOR-like protein kinase) 7" "Gene" ""
"AT4G22470" "MATCH" "1" "AT4G22470" "AT4G22470" "protease inhibitor/seed storage/lipid transfer protein (LTP) family protein" "Gene" ""
"AT4G30280" "MATCH" "1" "AT4G30280" "XTH18" "xyloglucan endotransglucosylase/hydrolase 18" "Gene" ""
"AT2G14247" "MATCH" "1" "AT2G14247" "AT2G14247" "Expressed protein" "Gene" ""
"AT4G15360" "MATCH" "1" "AT4G15360" "CYP705A3" "cytochrome P450, family 705, subfamily A, polypeptide 3" "Gene" ""
"AT2G14245" "MATCH" "1" "AT2G14245" "AT2G14245" "transposable_element_gene" "TransposableElementGene" ""
"AT3G42090" "MATCH" "1" "AT3G42090" "AT3G42090" "transposable_element_gene" "TransposableElementGene" ""
"AT2G45760" "MATCH" "1" "AT2G45760" "BAP2" "BON association protein 2" "Gene" ""
"AT2G24720" "MATCH" "1" "AT2G24720" "GLR2.2" "glutamate receptor 2.2" "Gene" ""
"AT5G09550" "MATCH" "1" "AT5G09550" "GDI" "GDP dissociation inhibitor family protein / Rab GTPase activator family protein" "Gene" ""
"AT5G52790" "MATCH" "1" "AT5G52790" "AT5G52790" "CBS domain protein with a domain protein (DUF21)" "Gene" ""
"ATCG01160" "MATCH" "1" "ATCG01160" "RRN5S" "" "Gene" ""
"AT1G17180" "MATCH" "1" "AT1G17180" "GSTU25" "glutathione S-transferase TAU 25" "Gene" ""
"AT3G42190" "MATCH" "1" "AT3G42190" "AT3G42190" "transposable_element_gene" "TransposableElementGene" ""
"AT1G42680" "MATCH" "1" "AT1G42680" "AT1G42680" "P-loop containing nucleoside triphosphate hydrolases superfamily protein" "Gene" ""
"AT3G08860" "MATCH" "1" "AT3G08860" "PYD4" "PYRIMIDINE 4" "Gene" ""
"AT1G45020" "MATCH" "1" "AT1G45020" "AT1G45020" "transposable_element_gene" "TransposableElementGene" ""
"AT3G49570" "MATCH" "1" "AT3G49570" "LSU3" "response to low sulfur 3" "Gene" ""
"AT1G21240" "MATCH" "1" "AT1G21240" "WAK3" "wall associated kinase 3" "Gene" ""
"AT3G42290" "MATCH" "1" "AT3G42290" "AT3G42290" "transposable_element_gene" "TransposableElementGene" ""
"AT1G24879" "MATCH" "1" "AT1G24879" "AT1G24879" "pseudogene of F-box associated ubiquitination effector family protein" "Pseudogene" ""
"AT4G33720" "MATCH" "1" "AT4G33720" "AT4G33720" "CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein" "Gene" ""
"AT3G14820" "MATCH" "1" "AT3G14820" "AT3G14820" "GDSL-like Lipase/Acylhydrolase superfamily protein" "Gene" ""
"AT4G28420" "MATCH" "1" "AT4G28420" "AT4G28420" "Tyrosine transaminase family protein" "Gene" ""
"AT5G24530" "MATCH" "1" "AT5G24530" "DMR6" "2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein" "Gene" ""
"AT2G28990" "MATCH" "1" "AT2G28990" "AT2G28990" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT3G23010" "MATCH" "1" "AT3G23010" "RLP36" "receptor like protein 36" "Gene" ""
"ATCG00980" "MATCH" "1" "ATCG00980" "TRNR.2" "tRNA-Arg" "Gene" ""
"AT1G73300" "MATCH" "1" "AT1G73300" "scpl2" "serine carboxypeptidase-like 2" "Gene" ""
"AT1G52890" "MATCH" "1" "AT1G52890" "NAC019" "NAC domain containing protein 19" "Gene" ""
"AT4G15310" "MATCH" "1" "AT4G15310" "CYP702A3" "cytochrome P450, family 702, subfamily A, polypeptide 3" "Gene" ""
"AT4G25010" "MATCH" "1" "AT4G25010" "SWEET14" "Nodulin MtN3 family protein" "Gene" ""
"AT2G15780" "MATCH" "1" "AT2G15780" "AT2G15780" "Cupredoxin superfamily protein" "Gene" ""
"AT2G14610" "MATCH" "1" "AT2G14610" "PR1" "pathogenesis-related protein 1" "Gene" ""
"AT1G02580" "MATCH" "1" "AT1G02580" "MEA" "SET domain-containing protein" "Gene" ""
"AT4G23370" "MATCH" "1" "AT4G23370" "AT4G23370" "carboxyl-terminal peptidase" "Gene" ""
"AT2G18190" "MATCH" "1" "AT2G18190" "AT2G18190" "P-loop containing nucleoside triphosphate hydrolases superfamily protein" "Gene" ""
"AT1G15850" "MATCH" "1" "AT1G15850" "AT1G15850" "Transducin/WD40 repeat-like superfamily protein" "Gene" ""
"AT3G05400" "MATCH" "1" "AT3G05400" "AT3G05400" "Major facilitator superfamily protein" "Gene" ""
"AT1G69930" "MATCH" "1" "AT1G69930" "GSTU11" "glutathione S-transferase TAU 11" "Gene" ""
"AT2G33380" "MATCH" "1" "AT2G33380" "RD20" "Caleosin-related family protein" "Gene" ""
"AT2G15490" "MATCH" "1" "AT2G15490" "UGT73B4" "UDP-glycosyltransferase 73B4" "Gene" ""
"AT1G16980" "MATCH" "1" "AT1G16980" "TPS2" "trehalose-6-phosphate synthase" "Gene" ""
"AT2G28190" "MATCH" "1" "AT2G28190" "CSD2" "copper/zinc superoxide dismutase 2" "Gene" ""
"AT1G22150" "MATCH" "1" "AT1G22150" "SULTR1;3" "sulfate transporter 1;3" "Gene" ""
"AT2G16960" "MATCH" "1" "AT2G16960" "AT2G16960" "ARM repeat superfamily protein" "Gene" ""
"AT5G19470" "MATCH" "1" "AT5G19470" "NUDT24" "nudix hydrolase homolog 24" "Gene" ""
"AT1G52070" "MATCH" "1" "AT1G52070" "AT1G52070" "Mannose-binding lectin superfamily protein" "Gene" ""
"AT1G13608" "MATCH" "1" "AT1G13608" "AT1G13608" "Defensin-like (DEFL) family protein" "Gene" ""
"AT5G07700" "MATCH" "1" "AT5G07700" "MYB76" "myb domain protein 76" "Gene" ""
"AT1G13607" "MATCH" "1" "AT1G13607" "AT1G13607" "Defensin-like (DEFL) family protein" "Gene" ""
"AT2G41445" "MATCH" "1" "AT2G41445" "AT2G41445" "agamous-like MADS-box protein" "Gene" ""
"AT1G13609" "MATCH" "1" "AT1G13609" "AT1G13609" "Defensin-like (DEFL) family protein" "Gene" ""
"ATCG00970" "MATCH" "1" "ATCG00970" "RRN5S" "" "Gene" ""
"AT2G46190" "MATCH" "1" "AT2G46190" "AT2G46190" "Mitochondrial glycoprotein family protein" "Gene" ""
"AT1G69920" "MATCH" "1" "AT1G69920" "GSTU12" "glutathione S-transferase TAU 12" "Gene" ""
"AT2G10000" "MATCH" "1" "AT2G10000" "AT2G10000" "transposable_element_gene" "TransposableElementGene" ""
"AT1G52343" "MATCH" "1" "AT1G52343" "AT1G52343" "transmembrane protein" "Gene" ""
"AT1G71200" "MATCH" "1" "AT1G71200" "AT1G71200" "basic helix-loop-helix (bHLH) DNA-binding superfamily protein" "Gene" ""
"AT3G56970" "MATCH" "1" "AT3G56970" "bHLH38" "basic helix-loop-helix (bHLH) DNA-binding superfamily protein" "Gene" ""
"AT1G52060" "MATCH" "1" "AT1G52060" "AT1G52060" "Mannose-binding lectin superfamily protein" "Gene" ""
"AT1G21140" "MATCH" "1" "AT1G21140" "AT1G21140" "Vacuolar iron transporter (VIT) family protein" "Gene" ""
"ATMG01380" "MATCH" "1" "ATMG01380" "RRN5" "" "Gene" ""
"AT3G24790" "MATCH" "1" "AT3G24790" "AT3G24790" "Protein kinase superfamily protein" "Gene" ""
"AT1G25270" "MATCH" "1" "AT1G25270" "UMAMIT24" "nodulin MtN21 /EamA-like transporter family protein" "Gene" ""
"ATCG00960" "MATCH" "1" "ATCG00960" "RRN4.5S.1" "" "Gene" ""
"AT5G39770" "MATCH" "1" "AT5G39770" "AT5G39770" "Restriction endonuclease, type II-like superfamily protein" "Gene" ""
"AT3G49620" "MATCH" "1" "AT3G49620" "DIN11" "2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein" "Gene" ""
"AT1G05650" "MATCH" "1" "AT1G05650" "AT1G05650" "Pectin lyase-like superfamily protein" "Gene" ""
"AT1G53610" "MATCH" "1" "AT1G53610" "AT1G53610" "transmembrane protein" "Gene" ""
"AT1G73325" "MATCH" "1" "AT1G73325" "AT1G73325" "Kunitz family trypsin and protease inhibitor protein" "Gene" ""
"AT3G56980" "MATCH" "1" "AT3G56980" "bHLH39" "basic helix-loop-helix (bHLH) DNA-binding superfamily protein" "Gene" ""
"AT1G55790" "MATCH" "1" "AT1G55790" "AT1G55790" "ferredoxin-fold anticodon-binding domain protein" "Gene" ""
"AT4G11650" "MATCH" "1" "AT4G11650" "OSM34" "osmotin 34" "Gene" ""
"ATMG01390" "MATCH" "1" "ATMG01390" "RRN18" "" "Gene" ""
"AT2G01010" "MATCH" "1" "AT2G01010" "AT2G01010" "" "Gene" ""
"AT1G02790" "MATCH" "1" "AT1G02790" "PGA4" "polygalacturonase 4" "Gene" ""
"AT1G24938" "MATCH" "1" "AT1G24938" "AT1G24938" "transposable_element_gene" "TransposableElementGene" ""
"AT1G12200" "MATCH" "1" "AT1G12200" "FMO" "Flavin-binding monooxygenase family protein" "Gene" ""
"ATCG00950" "MATCH" "1" "ATCG00950" "RRN23S.1" "" "Gene" ""
"AT3G23120" "MATCH" "1" "AT3G23120" "RLP38" "receptor like protein 38" "Gene" ""
"AT5G07330" "MATCH" "1" "AT5G07330" "AT5G07330" "NFU1 iron-sulfur cluster protein" "Gene" ""
"AT4G35670" "MATCH" "1" "AT4G35670" "AT4G35670" "Pectin lyase-like superfamily protein" "Gene" ""
"AT1G26240" "MATCH" "1" "AT1G26240" "AT1G26240" "Proline-rich extensin-like family protein" "Gene" ""
"AT3G46340" "MATCH" "1" "AT3G46340" "AT3G46340" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT5G63350" "MATCH" "1" "AT5G63350" "AT5G63350" "von willebrand factor A domain protein" "Gene" ""
"AT2G44370" "MATCH" "1" "AT2G44370" "AT2G44370" "Cysteine/Histidine-rich C1 domain family protein" "Gene" ""
"AT1G14880" "MATCH" "1" "AT1G14880" "PCR1" "PLANT CADMIUM RESISTANCE 1" "Gene" ""
"AT1G02450" "MATCH" "1" "AT1G02450" "NIMIN1" "NIM1-interacting 1" "Gene" ""
"AT5G20790" "MATCH" "1" "AT5G20790" "AT5G20790" "transmembrane protein" "Gene" ""
"AT2G34350" "MATCH" "1" "AT2G34350" "AT2G34350" "Nodulin-like / Major Facilitator Superfamily protein" "Gene" ""
"AT2G34210" "MATCH" "1" "AT2G34210" "AT2G34210" "Transcription elongation factor Spt5" "Gene" ""
"AT1G17710" "MATCH" "1" "AT1G17710" "PEPC1" "Pyridoxal phosphate phosphatase-related protein" "Gene" ""
"AT1G08430" "MATCH" "1" "AT1G08430" "ALMT1" "aluminum-activated malate transporter 1" "Gene" ""
"AT5G05340" "MATCH" "1" "AT5G05340" "PRX52" "Peroxidase superfamily protein" "Gene" ""
"ATCG00250" "MATCH" "1" "ATCG00250" "TRNE" "tRNA-Glu" "Gene" ""
"AT5G04150" "MATCH" "1" "AT5G04150" "BHLH101" "basic helix-loop-helix (bHLH) DNA-binding superfamily protein" "Gene" ""
"AT5G46960" "MATCH" "1" "AT5G46960" "AT5G46960" "Plant invertase/pectin methylesterase inhibitor superfamily protein" "Gene" ""
"AT1G24822" "MATCH" "1" "AT1G24822" "AT1G24822" "hypothetical protein" "Gene" ""
"AT5G63225" "MATCH" "1" "AT5G63225" "AT5G63225" "Carbohydrate-binding X8 domain superfamily protein" "Gene" ""
"AT3G45950" "MATCH" "1" "AT3G45950" "AT3G45950" "Pre-mRNA splicing Prp18-interacting factor" "Gene" ""
"AT3G27250" "MATCH" "1" "AT3G27250" "AT3G27250" "hypothetical protein" "Gene" ""
"AT1G63560" "MATCH" "1" "AT1G63560" "" "" "Gene" ""
"AT1G30700" "MATCH" "1" "AT1G30700" "AT1G30700" "FAD-binding Berberine family protein" "Gene" ""
"AT1G55230" "MATCH" "1" "AT1G55230" "AT1G55230" "proteinase inhibitor I4, serpin (DUF716)" "Gene" ""
"AT1G19930" "MATCH" "1" "AT1G19930" "AT1G19930" "Galactose oxidase/kelch repeat superfamily protein" "Gene" ""
"AT4G12490" "MATCH" "1" "AT4G12490" "AT4G12490" "Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Gene" ""
"AT5G47450" "MATCH" "1" "AT5G47450" "TIP2;3" "tonoplast intrinsic protein 2;3" "Gene" ""
"AT3G11980" "MATCH" "1" "AT3G11980" "MS2" "Jojoba acyl CoA reductase-related male sterility protein" "Gene" ""
"AT1G26250" "MATCH" "1" "AT1G26250" "AT1G26250" "Proline-rich extensin-like family protein" "Gene" ""
"ATMG01310" "MATCH" "1" "ATMG01310" "ORF136B" "hypothetical protein" "Gene" ""
"AT1G53625" "MATCH" "1" "AT1G53625" "AT1G53625" "hypothetical protein" "Gene" ""
"ATCG01200" "MATCH" "1" "ATCG01200" "TRNI.3" "tRNA-Ile" "Gene" ""
"AT2G07560" "MATCH" "1" "AT2G07560" "HA6" "H[ ]-ATPase 6" "Gene" ""
"AT1G79680" "MATCH" "1" "AT1G79680" "WAKL10" "WALL ASSOCIATED KINASE (WAK)-LIKE 10" "Gene" ""
"AT3G25240" "MATCH" "1" "AT3G25240" "AT3G25240" "sulfate/thiosulfate import ATP-binding protein, putative (DUF506)" "Gene" ""
"AT4G22610" "MATCH" "1" "AT4G22610" "AT4G22610" "Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein" "Gene" ""
"AT5G22570" "MATCH" "1" "AT5G22570" "WRKY38" "WRKY DNA-binding protein 38" "Gene" ""
"ATCG00260" "MATCH" "1" "ATCG00260" "TRNT.1" "tRNA-Thr" "Gene" ""
"AT1G47400" "MATCH" "1" "AT1G47400" "AT1G47400" "hypothetical protein" "Gene" ""
"AT5G46950" "MATCH" "1" "AT5G46950" "AT5G46950" "Plant invertase/pectin methylesterase inhibitor superfamily protein" "Gene" ""
"AT3G12900" "MATCH" "1" "AT3G12900" "AT3G12900" "2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein" "Gene" ""
"AT4G12170" "MATCH" "1" "AT4G12170" "AT4G12170" "Thioredoxin superfamily protein" "Gene" ""
"AT1G47405" "MATCH" "1" "AT1G47405" "AT1G47405" "transposable_element_gene" "TransposableElementGene" ""
"AT5G60770" "MATCH" "1" "AT5G60770" "NRT2.4" "nitrate transporter 2.4" "Gene" ""
"AT4G35650" "MATCH" "1" "AT4G35650" "IDH-III" "isocitrate dehydrogenase III" "Gene" ""
"AT3G16432" "MATCH" "1" "AT3G16432" "AT3G16432" "hypothetical protein" "Gene" ""
"AT5G54610" "MATCH" "1" "AT5G54610" "ANK" "ankyrin" "Gene" ""
"AT5G14180" "MATCH" "1" "AT5G14180" "MPL1" "Myzus persicae-induced lipase 1" "Gene" ""
"AT3G60140" "MATCH" "1" "AT3G60140" "DIN2" "Glycosyl hydrolase superfamily protein" "Gene" ""
"AT3G11160" "MATCH" "1" "AT3G11160" "AT3G11160" "transmembrane protein" "Gene" ""
"AT3G11165" "MATCH" "1" "AT3G11165" "AT3G11165" "hypothetical protein" "Gene" ""
"AT2G28860" "MATCH" "1" "AT2G28860" "CYP710A4" "cytochrome P450, family 710, subfamily A, polypeptide 4" "Gene" ""
"ATCG00230" "MATCH" "1" "ATCG00230" "TRND" "tRNA-Asp" "Gene" ""
"AT3G32280" "MATCH" "1" "AT3G32280" "AT3G32280" "ATP-dependent helicase family protein" "Gene" ""
"AT2G21460" "MATCH" "1" "AT2G21460" "AT2G21460" "transposable_element_gene" "TransposableElementGene" ""
"AT3G57240" "MATCH" "1" "AT3G57240" "BG3" "beta-1,3-glucanase 3" "Gene" ""
"AT2G01560" "MATCH" "1" "AT2G01560" "AT2G01560" "Plant protein 1589 of unknown function" "Gene" ""
"AT1G24909" "MATCH" "1" "AT1G24909" "AT1G24909" "Glutamine amidotransferase type 1 family protein" "Gene" ""
"AT1G73220" "MATCH" "1" "AT1G73220" "OCT1" "organic cation/carnitine transporter1" "Gene" ""
"AT1G32960" "MATCH" "1" "AT1G32960" "SBT3.3" "Subtilase family protein" "Gene" ""
"AT3G12910" "MATCH" "1" "AT3G12910" "AT3G12910" "NAC (No Apical Meristem) domain transcriptional regulator superfamily protein" "Gene" ""
"AT1G52690" "MATCH" "1" "AT1G52690" "LEA7" "Late embryogenesis abundant protein (LEA) family protein" "Gene" ""
"AT1G56600" "MATCH" "1" "AT1G56600" "GolS2" "galactinol synthase 2" "Gene" ""
"AT1G26380" "MATCH" "1" "AT1G26380" "AT1G26380" "FAD-binding Berberine family protein" "Gene" ""
"AT4G26260" "MATCH" "1" "AT4G26260" "MIOX4" "myo-inositol oxygenase 4" "Gene" ""
"AT3G03670" "MATCH" "1" "AT3G03670" "AT3G03670" "Peroxidase superfamily protein" "Gene" ""
"AT2G07981" "MATCH" "1" "AT2G07981" "AT2G07981" "hypothetical protein" "Gene" ""
"AT4G04490" "MATCH" "1" "AT4G04490" "CRK36" "cysteine-rich RLK (RECEPTOR-like protein kinase) 36" "Gene" ""
"AT2G09900" "MATCH" "1" "AT2G09900" "AT2G09900" "transposable_element_gene" "TransposableElementGene" ""
"AT3G54150" "MATCH" "1" "AT3G54150" "AT3G54150" "S-adenosyl-L-methionine-dependent methyltransferases superfamily protein" "Gene" ""
"AT5G25260" "MATCH" "1" "AT5G25260" "AT5G25260" "SPFH/Band 7/PHB domain-containing membrane-associated protein family" "Gene" ""
"ATCG00990" "MATCH" "1" "ATCG00990" "TRNN.1" "tRNA-Asn" "Gene" ""
"AT2G02120" "MATCH" "1" "AT2G02120" "PDF2.1" "Scorpion toxin-like knottin superfamily protein" "Gene" ""
"AT3G50610" "MATCH" "1" "AT3G50610" "AT3G50610" "DNA-directed RNA polymerase II subunit RPB1-like protein" "Gene" ""
"AT1G05880" "MATCH" "1" "AT1G05880" "ARI12" "RING/U-box superfamily protein" "Gene" ""
"AT4G19690" "MATCH" "1" "AT4G19690" "IRT1" "iron-regulated transporter 1" "Gene" ""
"AT2G43000" "MATCH" "1" "AT2G43000" "NAC042" "NAC domain containing protein 42" "Gene" ""
"AT1G26390" "MATCH" "1" "AT1G26390" "AT1G26390" "FAD-binding Berberine family protein" "Gene" ""
"ATCG00240" "MATCH" "1" "ATCG00240" "TRNY" "tRNA-Tyr" "Gene" ""
"AT2G37010" "MATCH" "1" "AT2G37010" "NAP12" "non-intrinsic ABC protein 12" "Gene" ""
"AT3G60120" "MATCH" "1" "AT3G60120" "BGLU27" "beta glucosidase 27" "Gene" ""
"AT3G41979" "MATCH" "1" "AT3G41979" "AT3G41979" "" "Gene" ""
"AT3G12230" "MATCH" "1" "AT3G12230" "scpl14" "serine carboxypeptidase-like 14" "Gene" ""
"AT2G09910" "MATCH" "1" "AT2G09910" "AT2G09910" "transposable_element_gene" "TransposableElementGene" ""
"AT5G22890" "MATCH" "1" "AT5G22890" "AT5G22890" "C2H2 and C2HC zinc fingers superfamily protein" "Gene" ""
